time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss
2048,33.31147540983606,1,0.05573770491803279,132,15,,,,,,,,,,
4096,32.0,2,0.08,120,34,10,-0.04563290998339653,0.0003,-0.3429321050643921,-0.018145579383417498,0.01845703125,0.0071380483,0.2,-1.8317336101084947,0.019777569639700232
6144,30.52,3,0.07300000000000001,113,54,20,-0.0476190447807312,0.0003,-0.20820772647857666,-0.026312439881439786,0.04765625,0.00830428,0.2,-1.8867607943713665,0.018826622433698502
8192,32.49,4,0.126,113,72,30,-0.008300678804516792,0.0003,-0.2234588861465454,-0.02954734186278074,0.068017578125,0.009745086,0.2,-1.847924553230405,0.02832650050331722
10240,33.92,5,0.122,112,90,40,-0.035803843289613724,0.0003,-0.01923239231109619,-0.031027261213603198,0.081396484375,0.009483887,0.2,-1.8123504746705295,0.03189580044854665
12288,33.79,6,0.157,111,110,50,-0.038384996354579926,0.0003,-0.2886999845504761,-0.043312672059983015,0.126318359375,0.011595774,0.2,-1.850729202851653,0.02471678725705715
14336,35.59,7,0.039,110,129,60,-0.025287210941314697,0.0003,-0.04347717761993408,-0.03500445039680926,0.11552734375,0.011189621,0.2,-1.796722376346588,0.05494485899398569
16384,36.72,8,0.11900000000000001,110,148,70,-0.05087819695472717,0.0003,-0.4432910680770874,-0.04481242044566898,0.12548828125,0.012909402,0.2,-1.7424027990549802,0.012553333990945248
18432,36.79,9,0.15,111,165,80,-0.036063212901353836,0.0003,-0.037613868713378906,-0.036953621843713334,0.12099609375,0.012680523,0.2,-1.756931946054101,0.046677447271940765
20480,36.68,10,0.22000000000000003,110,184,90,-0.052523769438266754,0.0003,-0.19034218788146973,-0.040308209473732856,0.130859375,0.013324686,0.2,-1.7438578691333533,0.04456234110257355
22528,38.69,11,0.165,111,201,100,-0.02671443298459053,0.0003,-0.04562056064605713,-0.04409293151147722,0.12451171875,0.012868388,0.2,-1.708827505260706,0.06657700638752431
24576,39.64,12,0.161,111,220,110,-0.05608401447534561,0.0003,-0.8278864622116089,-0.0527222062315559,0.165966796875,0.016056083,0.2,-1.738586525246501,0.020181734972720734
26624,40.35,13,0.20400000000000001,111,239,120,-0.04088514670729637,0.0003,-0.035228848457336426,-0.04082544539414812,0.148974609375,0.0149831455,0.2,-1.6720671642571687,0.06898297785955947
28672,42.14,14,0.158,109,262,130,-0.049758877605199814,0.0003,-0.21158909797668457,-0.04845040837244596,0.165673828125,0.015737485,0.2,-1.5399204384535552,0.03466766691271914
30720,43.26,15,0.331,107,284,140,-0.05636434257030487,0.0003,-0.11914598941802979,-0.04710126962745562,0.150830078125,0.015042171,0.2,-1.6480165619403124,0.05001518447534181
32768,42.21,16,0.44799999999999995,106,308,150,-0.006102379411458969,0.0003,-0.07379436492919922,-0.048613449801632666,0.164453125,0.017367214,0.2,-1.5582878913730382,0.11610901658423245
34816,41.68,17,0.43200000000000005,104,333,160,2.4966895580291748e-05,0.0003,-0.17076849937438965,-0.05181916634610388,0.181494140625,0.018879822,0.2,-1.5667661607265473,0.09222811299259774
36864,43.45,18,0.353,103,357,170,-0.045281969010829926,0.0003,0.1487216353416443,-0.050198318818002005,0.177734375,0.018285515,0.2,-1.5239753920584918,0.09214581461856142
38912,42.9,19,0.46199999999999997,101,382,180,-0.010333508253097534,0.0003,0.011217594146728516,-0.04599569053243613,0.15380859375,0.015407529,0.2,-1.5622247975319623,0.10949526146287099
40960,43.81,20,0.5920000000000001,100,407,190,-0.02153550088405609,0.0003,0.01946812868118286,-0.049738809413975106,0.1568359375,0.015431043,0.2,-1.593075181916356,0.1659526992123574
43008,44.63,21,0.618,99,434,200,0.02224697172641754,0.0003,-0.04025602340698242,-0.05254876986873569,0.175732421875,0.017381938,0.2,-1.591622744500637,0.18890112596563996
45056,44.66,22,0.494,98,458,210,0.01221919059753418,0.0003,-0.0027887821197509766,-0.05319494164723437,0.182861328125,0.018052122,0.2,-1.5667080223560332,0.13844736695755272
47104,43.79,23,0.576,97,483,220,-0.03964954987168312,0.0003,-0.22385549545288086,-0.05891751704912167,0.21201171875,0.020395072,0.2,-1.5543618679046631,0.10550783113576472
49152,44.39,24,0.845,96,508,230,0.020266614854335785,0.0003,0.06715548038482666,-0.050301640541874804,0.179296875,0.01912012,0.2,-1.5538142547011375,0.18516701471526176
51200,46.25,25,0.63,96,532,240,0.04375440627336502,0.0003,-0.24578654766082764,-0.05688240831950679,0.187744140625,0.020630002,0.2,-1.4543689705431462,0.23010756296571344
53248,47.62,26,0.48400000000000004,95,556,250,-0.07401115447282791,0.0003,-0.010663866996765137,-0.057264774544455575,0.2080078125,0.021316847,0.2,-1.4170542258769274,0.08119012017850764
55296,46.2,27,0.7719999999999999,95,580,260,-0.02297310158610344,0.0003,0.011653006076812744,-0.0567761667407467,0.202880859375,0.021688785,0.2,-1.4872895006090403,0.11326564480550587
57344,46.7,28,0.986,95,602,270,0.03634417802095413,0.0003,0.01899665594100952,-0.05885864937736187,0.215771484375,0.021232247,0.2,-1.4654143262654542,0.23069601259194314
59392,47.09,29,0.926,94,626,280,0.03341203182935715,0.0003,0.029834270477294922,-0.060835004407999806,0.21552734375,0.022756562,0.2,-1.4715921893715858,0.23027002068702132
61440,46.75,30,1.3110000000000002,94,650,290,-0.017572544515132904,0.0003,0.023094236850738525,-0.06194027429301059,0.223046875,0.022840984,0.2,-1.5205461721867324,0.19084247876890004
63488,46.99,31,1.4269999999999998,94,672,300,0.2684619426727295,0.0003,0.0623478889465332,-0.057460125238867475,0.204638671875,0.02031919,0.2,-1.5443304497748613,0.6914201212115586
65536,47.41,32,1.6059999999999999,94,694,310,0.010084189474582672,0.0003,-0.2872581481933594,-0.062004474934656176,0.219189453125,0.022928726,0.2,-1.4888928469270468,0.33520712349563836
67584,47.54,33,1.252,94,713,320,0.07111984491348267,0.0003,-0.018997907638549805,-0.06430718419724143,0.234033203125,0.023519784,0.2,-1.5455154735594987,0.39595282734371723
69632,46.65,34,1.5810000000000002,95,732,330,0.08238331973552704,0.0003,0.035938262939453125,-0.0541110214231594,0.19130859375,0.018772535,0.2,-1.4385416969656943,0.478099112957716
71680,46.7,35,1.7630000000000001,95,752,340,0.14393292367458344,0.0003,0.14014452695846558,-0.061209890841564626,0.21904296875,0.021467043,0.2,-1.5900313779711723,0.5915059120394289
73728,48.32,36,1.8019999999999998,95,771,350,0.060381799936294556,0.0003,0.09712868928909302,-0.06271756642527179,0.23671875,0.025600418,0.2,-1.4905775744467973,0.3289110660087317
75776,49.11,37,1.8980000000000001,96,788,360,0.07122907042503357,0.0003,0.14727598428726196,-0.06223657049558824,0.218896484375,0.021237116,0.2,-1.5517104230821133,0.496223234385252
77824,48.71,38,1.964,96,806,370,0.18223102390766144,0.0003,0.2673494815826416,-0.057652408427384214,0.200048828125,0.021485766,0.2,-1.42838821336627,0.5062713695690035
79872,48.21,39,1.744,97,822,380,0.16973286867141724,0.0003,0.1382462978363037,-0.06276791617565322,0.235791015625,0.02450185,0.2,-1.545468681678176,0.4695091066416353
81920,48.52,40,1.5930000000000002,97,839,390,0.07122714072465897,0.0003,0.037415504455566406,-0.06169377237965819,0.218603515625,0.023081549,0.2,-1.4323791775852441,0.3073658822569996
83968,49.82,41,1.7589999999999997,98,856,400,0.1376613974571228,0.0003,0.2835739254951477,-0.05700076034700032,0.2185546875,0.022604167,0.2,-1.4538786467164755,0.3998141337186098
86016,50.23,42,1.8359999999999999,98,874,410,0.029059723019599915,0.0003,0.019400298595428467,-0.05798267045756802,0.216064453125,0.023570377,0.2,-1.3471673281863332,0.40874102329835293
88064,50.54,43,2.019,98,891,420,0.14851027727127075,0.0003,0.28392982482910156,-0.06405190705991118,0.23583984375,0.023970515,0.2,-1.4335490569472313,0.4563607390038669
90112,51.14,44,2.14,99,908,430,0.19466820359230042,0.0003,0.16813033819198608,-0.054133651062147695,0.2068359375,0.019937979,0.2,-1.4435776498168706,0.75262719579041
92160,50.42,45,1.928,99,925,440,0.15531808137893677,0.0003,0.25959306955337524,-0.059474473277805376,0.21025390625,0.022407744,0.2,-1.328415961563587,0.5992186809889972
94208,50.76,46,2.1929999999999996,99,942,450,0.15391211211681366,0.0003,0.11007893085479736,-0.057430900137114806,0.21181640625,0.023143876,0.2,-1.3825471561402083,0.5500962524209172
96256,50.34,47,2.328,99,963,460,0.13130903244018555,0.0003,0.1350240707397461,-0.06050096869475965,0.2203125,0.022654235,0.2,-1.4654124356806277,0.7451949751004576
98304,50.3,48,2.423,100,982,470,0.13248521089553833,0.0003,0.16262227296829224,-0.06338542267330922,0.234912109375,0.024163164,0.2,-1.4295500813052058,0.5089495671447366
100352,50.6,49,2.057,99,1006,480,0.06746947020292282,0.0003,0.14911043643951416,-0.06168890704429941,0.236328125,0.023553284,0.2,-1.3861345238983631,0.6024642949923873
102400,51.11,50,2.477,99,1032,490,0.1929754912853241,0.0003,0.2568928003311157,-0.05765308793343138,0.204345703125,0.023022043,0.2,-1.4024712909013033,0.7181446858681738
104448,50.61,51,2.880999999999999,98,1057,500,0.2882874310016632,0.0003,0.3056943416595459,-0.05716333527379902,0.22060546875,0.024326101,0.2,-1.4449294967576862,0.8003748313523829
106496,51.77,52,2.5789999999999997,98,1082,510,0.4058849513530731,0.0003,0.2934219241142273,-0.05669782402110286,0.199267578125,0.020918224,0.2,-1.372110738605261,0.9915978469885885
108544,52.38,53,2.082,98,1106,520,0.12600192427635193,0.0003,0.03951078653335571,-0.06034815701568732,0.227490234375,0.026946418,0.2,-1.2757200427353381,0.5586117616388947
110592,53.63,54,2.711,97,1131,530,0.1934460997581482,0.0003,0.18536049127578735,-0.06210136482841335,0.241064453125,0.025897972,0.2,-1.3764161966741084,0.5340860452037305
112640,52.14,55,3.0149999999999992,97,1154,540,0.34934329986572266,0.0003,0.34686166048049927,-0.05820211365062278,0.22021484375,0.026725695,0.2,-1.2938479324802756,0.9101202804595232
114688,53.57,56,3.3280000000000003,97,1176,550,0.4049602448940277,0.0003,0.2717476487159729,-0.05851216800219845,0.21474609375,0.02283447,0.2,-1.4315832648426294,1.056828623637557
116736,54.1,57,3.161,97,1199,560,0.41690826416015625,0.0003,0.27061694860458374,-0.05654061132518109,0.20478515625,0.022198284,0.2,-1.307647404447198,1.0638070141896605
118784,54.53,58,3.133,97,1223,570,0.28578025102615356,0.0003,0.4189205765724182,-0.05949324275279651,0.226318359375,0.025934324,0.2,-1.3051264945417642,0.746064770501107
120832,53.95,59,2.758999999999999,96,1247,580,0.33157017827033997,0.0003,0.29529815912246704,-0.06175511878973339,0.231298828125,0.02324013,0.2,-1.4636774357408284,1.1301518268883228
122880,53.04,60,2.278,96,1271,590,0.2841591536998749,0.0003,0.25276875495910645,-0.05864868178177858,0.224951171875,0.026150512,0.2,-1.3381498323753476,0.7738797853700816
124928,52.96,61,2.347,96,1297,600,0.0812348797917366,0.0003,0.24374014139175415,-0.0641578518319875,0.249365234375,0.030014358,0.2,-1.3660634497180582,0.5887344683520496
126976,53.58,62,2.752,95,1323,610,0.14968161284923553,0.0003,0.08643805980682373,-0.06568934176902985,0.26220703125,0.031497467,0.2,-1.4033571001142264,0.6031770139932633
129024,54.02,63,3.0359999999999996,95,1349,620,0.17392590641975403,0.0003,0.18942290544509888,-0.06325308531522751,0.25966796875,0.028904194,0.2,-1.358611859753728,0.6435406192205846
131072,54.79,64,3.0439999999999996,95,1375,630,0.41284817457199097,0.0003,0.25351113080978394,-0.06224184731108835,0.232421875,0.02642228,0.2,-1.4126638002693652,1.0379871032200754
133120,54.99,65,3.0460000000000003,94,1402,640,0.24751920998096466,0.0003,0.33146369457244873,-0.055527053686091676,0.20263671875,0.023928454,0.2,-1.2535475626587869,0.9158822695724667
135168,55.77,66,3.448,94,1427,650,0.19418147206306458,0.0003,0.205316424369812,-0.06284189116704511,0.236328125,0.02568731,0.2,-1.4000930793583393,0.9413344909437
137216,55.65,67,3.0679999999999996,94,1453,660,0.5647100210189819,0.0003,0.36872929334640503,-0.04869007944362238,0.171337890625,0.018512804,0.2,-1.2471376612782479,1.730874184332788
139264,55.48,68,3.3640000000000003,94,1478,670,0.2139948159456253,0.0003,-0.15082013607025146,-0.05990868247463368,0.232958984375,0.02815032,0.2,-1.3067870890721678,0.6945827508345246
141312,54.91,69,3.5709999999999997,93,1505,680,0.656305193901062,0.0003,0.30952000617980957,-0.061516503573511724,0.2294921875,0.026266612,0.2,-1.3194336442276835,1.3222739228978753
143360,55.25,70,3.9989999999999997,93,1532,690,0.4936888813972473,0.0003,0.3367074131965637,-0.061366250237915664,0.21826171875,0.024303632,0.2,-1.45568031296134,1.2704508488066495
145408,53.27,71,2.949,93,1558,700,0.17897087335586548,0.0003,0.34041160345077515,-0.06059424946288346,0.238720703125,0.025003659,0.2,-1.3883410522714257,0.9192536547780037
147456,52.4,72,2.176,93,1581,710,0.07750193774700165,0.0003,0.08825349807739258,-0.06282632016082061,0.25498046875,0.032654013,0.2,-1.3858992267400025,0.6065401450265199
149504,53.12,73,2.476,93,1605,720,0.11969861388206482,0.0003,0.21940100193023682,-0.06352011861454229,0.27197265625,0.034512747,0.2,-1.2314840639010072,0.3921338437125087
151552,55.32,74,3.1920000000000006,92,1630,730,0.16961276531219482,0.0003,0.198492169380188,-0.05705896327563096,0.223974609375,0.026998132,0.2,-1.2524862753227353,0.8063273151405156
153600,54.93,75,3.656999999999999,92,1656,740,0.23492208123207092,0.0003,0.30547893047332764,-0.06435621633136179,0.24296875,0.02733844,0.2,-1.376353736408055,1.1179866124875844
155648,52.86,76,2.948,92,1682,750,0.2167099565267563,0.0003,0.11371088027954102,-0.05950641815143172,0.233544921875,0.028640276,0.2,-1.3596280097961426,0.8172965760342776
157696,53.68,77,2.9939999999999998,92,1708,760,0.12713606655597687,0.0003,0.2981824278831482,-0.05336358759523137,0.226513671875,0.027794303,0.2,-1.247186335735023,0.8347425822168588
159744,52.68,78,2.843,92,1733,770,0.224929541349411,0.0003,0.36155515909194946,-0.057239482481963935,0.246240234375,0.02716919,0.2,-1.2874205358326436,0.9845827264711261
161792,54.27,79,2.863,91,1759,780,0.13316984474658966,0.0003,0.1406523585319519,-0.06048216629133094,0.25244140625,0.03044124,0.2,-1.249822016246617,0.5835674945265055
163840,54.75,80,2.617,91,1783,790,0.23076261579990387,0.0003,0.19140350818634033,-0.053446135911508465,0.224755859375,0.028384432,0.2,-1.2105473279953003,0.8045840280130505
165888,55.01,81,2.763,91,1808,800,0.2005133181810379,0.0003,0.11288613080978394,-0.06313630073746027,0.25068359375,0.03015435,0.2,-1.1974508309736849,0.5958582673221826
167936,56.12,82,3.5009999999999994,91,1833,810,0.22934484481811523,0.0003,0.3518936038017273,-0.05974401585845044,0.248291015625,0.032995533,0.2,-1.2336510749533773,0.6681401356123388
169984,55.93,83,3.2060000000000004,91,1857,820,0.04382193088531494,0.0003,0.11883485317230225,-0.060190289939055217,0.23857421875,0.030245706,0.2,-1.1992724450305103,0.577317607589066
172032,56.68,84,3.513,91,1882,830,0.14612555503845215,0.0003,0.16481095552444458,-0.0573380801564781,0.233154296875,0.033987656,0.2,-1.1030708638951183,0.6516711499541998
174080,56.68,85,3.1120000000000005,91,1906,840,0.4686717391014099,0.0003,0.1284887194633484,-0.05046350657503353,0.187890625,0.02277989,0.2,-1.2299340967088939,1.1112819186411798
176128,57.12,86,3.6140000000000003,91,1928,850,0.19039583206176758,0.0003,0.12029522657394409,-0.06189329127810197,0.244775390625,0.030263532,0.2,-1.2580091331154108,0.747977358289063
178176,56.82,87,3.0690000000000004,91,1954,860,0.209452286362648,0.0003,0.31528574228286743,-0.052987414030940275,0.211767578125,0.027607735,0.2,-1.1654400097206234,1.1248547631315886
180224,56.23,88,3.037,91,1980,870,0.06510865688323975,0.0003,-0.08157789707183838,-0.059769983708974905,0.235791015625,0.03169124,0.2,-1.2037043049931526,0.47295162212103603
182272,55.0,89,3.083999999999999,90,2005,880,0.11946576088666916,0.0003,0.3477793335914612,-0.05984082937065978,0.245458984375,0.031784564,0.2,-1.1518718864768744,0.487223511422053
184320,55.75,90,3.273,90,2031,890,0.13691961765289307,0.0003,0.23553228378295898,-0.059583564667264,0.24345703125,0.034481633,0.2,-1.1107855146750807,0.5373366516083479
186368,55.76,91,2.967,90,2055,900,0.11460438370704651,0.0003,0.3272022604942322,-0.059315697912825274,0.243359375,0.032456663,0.2,-1.141988711245358,0.5759989940561354
188416,57.11,92,3.2409999999999997,90,2079,910,0.14390172064304352,0.0003,0.05604875087738037,-0.057748828857438636,0.226611328125,0.029028704,0.2,-1.0869138007983565,0.6531154670752585
190464,57.02,93,3.63,90,2104,920,0.27769747376441956,0.0003,0.29291605949401855,-0.05484704034170136,0.213720703125,0.026597869,0.2,-1.150233127735555,0.8956455785781146
192512,57.24,94,3.696,90,2129,930,0.14360961318016052,0.0003,0.2525598406791687,-0.05813841403578408,0.226025390625,0.02893217,0.2,-1.1958197370171546,0.8859549788758159
194560,55.36,95,2.9760000000000004,90,2154,940,0.2471081018447876,0.0003,0.2392084002494812,-0.05447094211995136,0.208349609375,0.024236435,0.2,-1.1018576517701149,1.0801863911561669
196608,55.54,96,2.531,90,2178,950,0.13269197940826416,0.0003,0.15120083093643188,-0.056372471305076034,0.225537109375,0.028969597,0.2,-1.152504133246839,0.543320792960003
198656,56.56,97,2.4139999999999997,90,2203,960,0.0639258325099945,0.0003,0.17132264375686646,-0.06079054481815547,0.25908203125,0.03684986,0.2,-1.1449176412075759,0.37241027895361184
200704,58.16,98,2.549,90,2226,970,0.15187141299247742,0.0003,0.21982723474502563,-0.054697624772961716,0.226953125,0.030753542,0.2,-1.085909066721797,0.533924315078184
202752,58.36,99,2.4429999999999996,90,2250,980,0.10557534545660019,0.0003,0.3084051012992859,-0.0595964679174358,0.233154296875,0.032602876,0.2,-1.0841958161443472,0.5138109201099723
204800,56.65,100,2.346,89,2275,990,0.18349260091781616,0.0003,0.29394227266311646,-0.05568247348273871,0.228076171875,0.035561275,0.2,-1.107063714414835,0.5640531917102635
206848,56.09,101,2.225,89,2300,1000,0.05704231560230255,0.0003,0.19678723812103271,-0.05484559806864127,0.221630859375,0.030012159,0.2,-1.021161392517388,0.5782639188691974
208896,56.49,102,2.18,89,2325,1010,0.09305167198181152,0.0003,0.18493515253067017,-0.05184060019382741,0.209326171875,0.029825404,0.2,-0.993339417129755,0.47044835216365755
210944,57.35,103,2.4419999999999997,89,2349,1020,0.04751299321651459,0.0003,0.12531912326812744,-0.05394290016265586,0.224072265625,0.034042813,0.2,-0.9635525062680245,0.38675642469897864
212992,57.6,104,2.653,89,2375,1030,0.43296316266059875,0.0003,0.25489795207977295,-0.05069434800534509,0.20107421875,0.025388252,0.2,-0.9728807765990496,0.8648639162071049
215040,58.82,105,3.3289999999999997,89,2401,1040,0.27285486459732056,0.0003,0.172576904296875,-0.04975184665236156,0.1984375,0.027347127,0.2,-1.0149954736232758,0.670063131256029
217088,59.55,106,3.515,89,2425,1050,0.21689146757125854,0.0003,0.2642402648925781,-0.054131592514022484,0.207080078125,0.027312007,0.2,-1.043802883476019,0.828279937338084
219136,58.93,107,3.295,89,2450,1060,0.19754496216773987,0.0003,0.39388126134872437,-0.056730165975750424,0.228564453125,0.028094763,0.2,-1.019286866299808,0.8518152952194213
221184,59.0,108,2.91,89,2473,1070,0.12154131382703781,0.0003,0.26946479082107544,-0.051302418889827096,0.2109375,0.027824946,0.2,-0.9149167558178306,0.577292832871899
223232,59.24,109,2.4370000000000003,89,2497,1080,0.08285950124263763,0.0003,0.10461008548736572,-0.05648823951196391,0.233251953125,0.03407891,0.2,-0.9763997608795763,0.4643875733483583
225280,59.19,110,2.888,89,2522,1090,0.10397569090127945,0.0003,0.21892201900482178,-0.05436935942416312,0.22490234375,0.032861352,0.2,-1.0064351404085756,0.5393025589641184
227328,58.27,111,3.658,89,2546,1100,0.16438530385494232,0.0003,0.3270929455757141,-0.05810182966815773,0.22685546875,0.031621855,0.2,-1.0319131243973971,0.6072919241152703
229376,57.68,112,3.8999999999999995,89,2567,1110,0.3028014898300171,0.0003,0.3595855236053467,-0.0538933122123126,0.21201171875,0.027338296,0.2,-1.01376239284873,0.9584656431339681
231424,58.78,113,4.4239999999999995,89,2585,1120,0.1976410299539566,0.0003,0.2906215190887451,-0.05294554059510119,0.21669921875,0.029047031,0.2,-1.0217043623328208,0.866145031619817
233472,58.33,114,3.6660000000000004,89,2603,1130,0.519324541091919,0.0003,0.36253827810287476,-0.04640139301409363,0.176806640625,0.023713117,0.2,-0.9164708690717817,1.352628551237285
235520,58.15,115,3.399000000000001,89,2620,1140,0.1435883343219757,0.0003,0.28638404607772827,-0.05602766416122904,0.2232421875,0.030206969,0.2,-1.0361727228388191,0.6589656002819538
237568,58.51,116,3.55,90,2638,1150,0.19708281755447388,0.0003,0.23226594924926758,-0.05602465920237591,0.2291015625,0.03301383,0.2,-0.958285410143435,0.7608946397900581
239616,58.98,117,3.6050000000000004,90,2658,1160,0.29753202199935913,0.0003,0.2592218518257141,-0.05644476945890346,0.222021484375,0.031870082,0.2,-1.0084686297923326,1.1057053113356232
